Harmonized_SU2C_WES_Tumor_Sample_ID_v2	Ploidy	Purity
SU2CLC-CLE-NIVO11	1.96	0.57
SU2CLC-CLE-NIVO181	5.22	0.25
SU2CLC-CLE-NIVO191	2.1	0.37
SU2CLC-CLE-NIVO31	2.02	0.93
SU2CLC-CLE-NIVO41	1.84	0.62
SU2CLC-CLE-NIVO51	2.74	0.43
SU2CLC-CLE-NIVO91	2.57	0.23
SU2CLC-COL-10011	1.93	0.26
SU2CLC-COL-10051	4.2	0.11
SU2CLC-COL-10071	1.61	0.54
SU2CLC-COL-10121	2.08	0.22
SU2CLC-COL-10251	1.9	0.81
SU2CLC-COL-10291	3.56	0.32
SU2CLC-COL-10311	1.91	0.2
SU2CLC-COL-10331	1.96	0.22
SU2CLC-COL-10341	1.88	0.33
SU2CLC-COL-10351	2.03	0.1
SU2CLC-COL-10371	1.18	0.39
SU2CLC-COL-10421	2.84	0.29
SU2CLC-COL-10451	3.15	0.2
SU2CLC-DFC-10021	3.48	0.34
SU2CLC-DFC-10031	2.11	0.2
SU2CLC-DFC-10041	1.85	0.31
SU2CLC-DFC-10051	1.64	0.27
SU2CLC-DFC-10061	2.09	0.14
SU2CLC-DFC-10071	3.42	0.19
SU2CLC-DFC-10101	2.99	0.58
SU2CLC-DFC-10131	1.94	0.29
SU2CLC-DFC-10141	3.19	0.19
SU2CLC-DFC-10161	3.21	0.2
SU2CLC-DFC-10181	3.28	0.32
SU2CLC-DFC-10201	2.32	0.23
SU2CLC-DFC-14231	1.87	0.4
SU2CLC-DFC-14251	3.07	0.42
SU2CLC-DFC-14271	1.77	0.62
SU2CLC-DFC-14291	2.89	0.41
SU2CLC-DFC-14361	2.03	0.2
SU2CLC-DFC-14371	3.25	0.3
SU2CLC-DFC-15131	1.57	0.2
SU2CLC-DFC-15151	3.11	0.3
SU2CLC-DFC-15161	3.59	0.28
SU2CLC-DFC-15351	1.99	0.38
SU2CLC-DFC-15361	2.14	0.13
SU2CLC-DFC-15391	2.91	0.79
SU2CLC-DFC-DF00311	4.9	0.46
SU2CLC-DFC-DF00331	2.03	0.25
SU2CLC-DFC-DF00471	2.01	0.1
SU2CLC-DFC-DF00501	2.34	0.29
SU2CLC-DFC-DF01091	3.09	0.3
SU2CLC-DFC-DF02401	2.99	0.16
SU2CLC-DFC-DF02881	1.98	0.33
SU2CLC-DFC-DF03261	2.1	0.21
SU2CLC-DFC-DF04141	3.36	0.83
SU2CLC-DFC-DF04171	3.38	0.28
SU2CLC-DFC-DF04211	1.95	0.7
SU2CLC-DFC-DF04381	2.0	0.3
SU2CLC-DFC-DF04991	2.79	0.2
SU2CLC-DFC-DF05101	2.04	0.14
SU2CLC-DFC-DF05311	1.87	0.14
SU2CLC-DFC-DF05371	3.99	0.48
SU2CLC-DFC-DF05611	2.34	0.28
SU2CLC-DFC-DF05821	3.6	0.33
SU2CLC-DFC-DF05851	1.66	0.29
SU2CLC-DFC-DF05971	5.22	0.23
SU2CLC-DFC-DF05981	1.8	0.54
SU2CLC-DFC-DF05991	3.93	0.44
SU2CLC-DFC-DF06481	4.8	0.33
SU2CLC-DFC-DF06591	3.17	0.68
SU2CLC-DFC-DF06681	3.63	0.39
SU2CLC-DFC-DF06691	3.1	0.78
SU2CLC-DFC-DF06911	3.52	0.58
SU2CLC-DFC-DF07091	1.77	0.14
SU2CLC-DFC-DF07321	3.31	0.19
SU2CLC-DFC-DF07681	2.01	0.93
SU2CLC-DFC-DF07701	2.83	0.47
SU2CLC-DFC-DF07751	2.98	0.75
SU2CLC-DFC-DF07771	2.03	0.28
SU2CLC-DFC-DF07781	3.62	0.38
SU2CLC-DFC-DF07901	3.05	0.34
SU2CLC-DFC-DF07961	3.08	0.4
SU2CLC-DFC-DF08341	3.18	0.25
SU2CLC-DFC-DF08401	1.93	0.21
SU2CLC-DFC-DF08811	2.58	0.24
SU2CLC-DFC-DF08991	2.31	0.51
SU2CLC-DFC-DF09021	1.86	0.4
SU2CLC-DFC-DF09081	2.56	0.24
SU2CLC-DFC-DF09101	3.23	0.38
SU2CLC-JHU-00011	1.65	0.36
SU2CLC-JHU-00021	1.86	0.46
SU2CLC-JHU-00031	1.77	0.49
SU2CLC-JHU-00041	3.0	0.57
SU2CLC-JHU-00051	3.49	0.54
SU2CLC-JHU-00061	1.93	0.77
SU2CLC-JHU-00071	1.87	0.56
SU2CLC-JHU-00081	4.14	0.67
SU2CLC-JHU-00091	2.17	0.29
SU2CLC-JHU-00101	3.16	0.59
SU2CLC-JHU-00111	1.57	0.33
SU2CLC-JHU-00121	1.85	0.53
SU2CLC-JHU-00131	2.86	0.62
SU2CLC-JHU-00151	1.92	0.17
SU2CLC-JHU-00171	4.06	0.46
SU2CLC-JHU-00181	1.5	0.48
SU2CLC-JHU-00191	2.67	0.45
SU2CLC-JHU-00201	1.75	0.32
SU2CLC-JHU-00211	4.19	0.23
SU2CLC-JHU-00241	3.31	0.53
SU2CLC-JHU-00251	3.08	0.56
SU2CLC-JHU-00261	1.97	0.23
SU2CLC-JHU-00271	1.98	0.35
SU2CLC-JHU-00281	4.69	0.55
SU2CLC-JHU-00291	2.81	0.17
SU2CLC-JHU-00401	2.54	0.36
SU2CLC-MDA-15631	2.13	0.73
SU2CLC-MDA-16301	3.57	0.16
SU2CLC-MDA-16311	2.92	0.83
SU2CLC-MGH-10481	3.31	0.65
SU2CLC-MGH-10501	2.03	0.18
SU2CLC-MGH-10511	1.91	0.46
SU2CLC-MGH-10541	2.98	0.48
SU2CLC-MGH-11291	1.93	0.17
SU2CLC-MGH-11311	5.33	0.38
SU2CLC-MGH-11341	2.07	0.25
SU2CLC-MGH-11351	2.63	0.3
SU2CLC-MGH-11481	1.85	0.54
SU2CLC-MGH-11491	1.92	0.13
SU2CLC-MGH-11611	1.61	0.21
SU2CLC-MGH-11621	2.57	0.17
SU2CLC-MGH-11641	1.61	0.49
SU2CLC-MGH-11661	1.98	0.24
SU2CLC-MGH-11691	3.2	0.32
SU2CLC-MGH-13871	3.27	0.19
SU2CLC-MGH-13891	2.07	0.2
SU2CLC-MGH-14121	3.03	0.26
SU2CLC-MGH-14151	2.29	0.18
SU2CLC-MGH-14161	2.06	0.19
SU2CLC-MGH-14171	2.09	0.34
SU2CLC-MGH-14181	1.83	0.68
SU2CLC-MGH-14881	2.0	0.18
SU2CLC-MGH-14901	1.59	0.21
SU2CLC-MGH-14921	3.31	0.11
SU2CLC-MGH-14981	2.85	0.2
SU2CLC-MGH-15011	1.86	0.55
SU2CLC-MGH-15031	2.73	0.46
SU2CLC-MGH-15111	2.86	0.31
SU2CLC-MGH-15651	3.46	0.8
SU2CLC-MGH-15681	4.68	0.21
SU2CLC-MGH-15721	3.25	0.32
SU2CLC-MGH-15751	1.74	0.46
SU2CLC-MGH-15781	5.51	0.2
SU2CLC-MGH-16191	3.27	0.34
SU2CLC-MGH-16231	1.97	0.23
SU2CLC-MSK-10211	1.94	0.27
SU2CLC-MSK-10231	1.72	0.3
SU2CLC-MSK-10241	3.25	0.65
SU2CLC-MSK-10251	2.1	0.34
SU2CLC-MSK-10261	2.23	0.17
SU2CLC-MSK-10291	2.6	0.39
SU2CLC-MSK-10331	2.17	0.39
SU2CLC-MSK-10361	1.75	0.91
SU2CLC-MSK-10371	2.08	0.46
SU2CLC-MSK-10381	4.8	0.53
SU2CLC-MSK-10771	2.12	0.31
SU2CLC-MSK-10781	4.95	0.24
SU2CLC-MSK-10791	3.22	0.3
SU2CLC-MSK-10801	2.98	0.59
SU2CLC-MSK-10811	3.33	0.63
SU2CLC-MSK-10821	3.92	0.16
SU2CLC-MSK-10841	1.91	0.79
SU2CLC-MSK-10851	3.24	0.85
SU2CLC-MSK-10861	1.57	0.26
SU2CLC-MSK-10871	2.61	0.15
SU2CLC-MSK-10881	2.36	0.5
SU2CLC-MSK-10941	2.02	0.16
SU2CLC-MSK-10961	5.07	0.1
SU2CLC-MSK-10981	2.85	0.77
SU2CLC-MSK-10991	1.98	0.67
SU2CLC-MSK-11001	5.62	0.41
SU2CLC-MSK-11011	2.22	0.74
SU2CLC-MSK-11021	3.08	0.45
SU2CLC-MSK-11031	2.0	0.19
SU2CLC-MSK-11121	3.77	0.3
SU2CLC-MSK-11141	1.95	0.26
SU2CLC-MSK-11161	4.03	0.5
SU2CLC-MSK-13551	2.76	0.51
SU2CLC-MSK-13561	2.58	0.3
SU2CLC-MSK-13571	2.82	0.66
SU2CLC-MSK-13581	1.82	0.53
SU2CLC-MSK-13601	4.95	0.26
SU2CLC-MSK-13611	2.02	0.11
SU2CLC-MSK-13631	2.07	0.17
SU2CLC-MSK-13641	3.38	0.4
SU2CLC-MSK-13651	2.35	0.24
SU2CLC-MSK-14681	4.19	0.66
SU2CLC-MSK-14691	3.23	0.42
SU2CLC-MSK-14721	2.77	0.73
SU2CLC-MSK-15411	2.01	1.0
SU2CLC-MSK-15421	1.7	0.59
SU2CLC-MSK-15431	2.17	0.33
SU2CLC-MSK-15441	2.99	0.15
SU2CLC-MSK-15451	1.88	0.26
SU2CLC-MSK-15461	1.98	0.19
SU2CLC-MSK-15481	4.73	0.37
SU2CLC-MSK-15491	3.35	0.29
SU2CLC-MSK-15501	1.98	0.29
SU2CLC-MSK-15511	1.94	0.33
SU2CLC-MSK-15521	2.2	0.1
SU2CLC-MSK-15531	3.37	0.25
SU2CLC-MSK-15541	3.57	0.74
SU2CLC-MSK-15551	2.72	0.61
SU2CLC-MSK-15561	2.29	0.31
SU2CLC-MSK-A20011	1.68	0.13
SU2CLC-MSK-A20021	3.72	0.38
SU2CLC-MSK-A20121	1.76	0.28
SU2CLC-MSK-A20131	1.78	0.23
SU2CLC-MSK-A20141	1.93	0.32
SU2CLC-MSK-A20161	4.37	0.12
SU2CLC-MSK-A20171	1.99	0.51
SU2CLC-MSK-A20181	2.0	0.25
SU2CLC-MSK-A20191	2.56	0.76
SU2CLC-MSK-A20201	2.27	0.34
SU2CLC-MSK-A20211	2.02	0.2
SU2CLC-MSK-A20221	3.07	0.72
SU2CLC-MSK-A20231	3.26	0.14
SU2CLC-MSK-A20241	2.85	0.21
SU2CLC-MSK-A20251	3.13	0.45
SU2CLC-MSK-A20281	2.09	0.27
SU2CLC-MSK-A20291	3.02	0.22
SU2CLC-MSK-A20301	2.02	0.31
SU2CLC-MSK-A20311	2.27	0.22
SU2CLC-MSK-A20321	2.71	0.22
SU2CLC-MSK-A20331	1.77	0.27
SU2CLC-MSK-A20341	1.86	0.17
SU2CLC-MSK-A20351	3.55	0.4
SU2CLC-MSK-A20361	3.96	0.75
SU2CLC-MSK-A20371	2.98	0.38
SU2CLC-MSK-A20401	3.46	0.42
SU2CLC-MSK-A20421	2.98	0.28
SU2CLC-MSK-A20431	2.73	0.4
SU2CLC-MSK-A20441	4.74	0.25
SU2CLC-MSK-A20461	2.39	0.53
SU2CLC-MSK-A20471	3.57	0.6
SU2CLC-MSK-A20491	2.09	0.38
SU2CLC-MSK-A20501	2.27	0.34
SU2CLC-MSK-A20511	3.19	0.29
SU2CLC-MSK-A20521	3.2	0.26
SU2CLC-MSK-A20531	2.06	0.16
SU2CLC-MSK-A20541	2.95	0.28
SU2CLC-MSK-A20551	3.53	0.26
SU2CLC-MSK-A20571	2.04	0.32
SU2CLC-MSK-A20591	4.41	0.4
SU2CLC-MSK-A20601	1.89	0.24
SU2CLC-MSK-A20631	2.07	0.18
SU2CLC-MSK-A20641	1.87	0.31
SU2CLC-MSK-A20651	2.78	0.29
SU2CLC-MSK-A20661	2.82	0.28
SU2CLC-MSK-A20671	2.36	0.24
SU2CLC-MSK-A20681	1.72	0.52
SU2CLC-MSK-A20691	3.72	0.23
SU2CLC-MSK-A20701	4.32	0.38
SU2CLC-MSK-A20711	2.79	0.52
SU2CLC-MSK-A20721	3.45	0.51
SU2CLC-MSK-A20731	2.02	0.15
SU2CLC-MSK-A20741	2.0	0.26
SU2CLC-MSK-A20801	1.91	0.48
SU2CLC-MSK-A20811	2.75	0.29
SU2CLC-MSK-A20821	2.81	0.79
SU2CLC-MSK-A20831	2.02	0.16
SU2CLC-MSK-A20841	1.9	0.21
SU2CLC-MSK-A20851	1.95	0.32
SU2CLC-MSK-A20871	2.92	0.17
SU2CLC-MSK-A20881	4.19	0.23
SU2CLC-MSK-A20901	2.05	0.43
SU2CLC-MSK-A20911	2.85	0.37
SU2CLC-MSK-A20921	3.74	0.39
SU2CLC-MSK-A20931	3.34	0.16
SU2CLC-MSK-A20941	2.42	0.6
SU2CLC-MSK-A20951	2.69	0.3
SU2CLC-MSK-A20961	1.99	0.71
SU2CLC-MSK-A20971	2.51	0.33
SU2CLC-MSK-A20981	1.93	0.37
SU2CLC-MSK-A21031	2.04	0.56
SU2CLC-MSK-A21041	2.86	0.41
SU2CLC-UCD-11241	2.07	0.35
SU2CLC-UCD-11251	2.08	0.44
SU2CLC-UCD-11421	1.55	0.45
SU2CLC-UCD-11451	5.93	0.27
SU2CLC-YAL-0101	2.01	0.53
SU2CLC-YAL-1031	2.2	0.42
SU2CLC-YAL-1041	2.46	0.13
SU2CLC-YAL-1081	1.84	0.64
SU2CLC-YAL-1111	1.9	0.5
SU2CLC-YAL-25011	1.63	0.66
SU2CLC-YAL-25031	2.01	0.68
SU2CLC-YAL-25061	2.65	0.53
SU2CLC-YAL-25071	3.77	0.48
SU2CLC-YAL-25091	2.38	0.22
SU2CLC-YAL-25111	1.83	0.21
SU2CLC-YAL-25131	2.06	0.3
SU2CLC-YAL-25141	2.16	0.11
SU2CLC-YAL-25161	2.25	0.2
SU2CLC-YAL-25171	3.41	0.34
SU2CLC-YAL-25181	3.07	0.43
SU2CLC-YAL-25191	2.49	0.54
SU2CLC-YAL-25231	3.23	0.59
SU2CLC-YAL-25251	3.52	0.48
SU2CLC-YAL-25321	2.07	0.25
SU2CLC-YAL-25371	2.16	0.28
SU2CLC-YAL-25471	2.0	0.11
